borough,dev_name,source,map_file,table_file,arts_count
BRONX,1162-1176 WASHINGTON AVENUE,NYCHA,NYCHA_1162-1176_WASHINGTON_AVENUE_map.html,NYCHA_1162-1176_WASHINGTON_AVENUE_table.html,2
BRONX,1471 WATSON AVENUE,NYCHA,NYCHA_1471_WATSON_AVENUE_map.html,,0
MANHATTAN,154 WEST 84TH STREET,NYCHA,NYCHA_154_WEST_84TH_STREET_map.html,NYCHA_154_WEST_84TH_STREET_table.html,24
BROOKLYN,303 VERNON AVENUE,NYCHA,NYCHA_303_VERNON_AVENUE_map.html,NYCHA_303_VERNON_AVENUE_table.html,1
MANHATTAN,45 ALLEN STREET,NYCHA,NYCHA_45_ALLEN_STREET_map.html,NYCHA_45_ALLEN_STREET_table.html,42
MANHATTAN,830 AMSTERDAM AVENUE,NYCHA,NYCHA_830_AMSTERDAM_AVENUE_map.html,NYCHA_830_AMSTERDAM_AVENUE_table.html,34
BRONX,ADAMS,NYCHA,NYCHA_ADAMS_map.html,NYCHA_ADAMS_table.html,1
BROOKLYN,ALBANY,NYCHA,NYCHA_ALBANY_map.html,NYCHA_ALBANY_table.html,5
BROOKLYN,ALBANY II,NYCHA,NYCHA_ALBANY_II_map.html,NYCHA_ALBANY_II_table.html,3
MANHATTAN,AMSTERDAM,NYCHA,NYCHA_AMSTERDAM_map.html,NYCHA_AMSTERDAM_table.html,43
MANHATTAN,AMSTERDAM ADDITION,NYCHA,NYCHA_AMSTERDAM_ADDITION_map.html,NYCHA_AMSTERDAM_ADDITION_table.html,34
QUEENS,ASTORIA,NYCHA,NYCHA_ASTORIA_map.html,,0
BROOKLYN,ATLANTIC TERMINAL SITE 4B,NYCHA,NYCHA_ATLANTIC_TERMINAL_SITE_4B_map.html,NYCHA_ATLANTIC_TERMINAL_SITE_4B_table.html,48
QUEENS,BAISLEY PARK,NYCHA,NYCHA_BAISLEY_PARK_map.html,,0
MANHATTAN,BARUCH,NYCHA,NYCHA_BARUCH_map.html,NYCHA_BARUCH_table.html,12
MANHATTAN,BARUCH HOUSES ADDITION,NYCHA,NYCHA_BARUCH_HOUSES_ADDITION_map.html,NYCHA_BARUCH_HOUSES_ADDITION_table.html,16
QUEENS,BEACH 41ST STREET-BEACH CHANNEL DRIVE,NYCHA,NYCHA_BEACH_41ST_STREET-BEACH_CHANNEL_DRIVE_map.html,,0
STATEN ISLAND,BERRY,NYCHA,NYCHA_BERRY_map.html,,0
QUEENS,BLAND,NYCHA,NYCHA_BLAND_map.html,NYCHA_BLAND_table.html,2
BROOKLYN,BORINQUEN PLAZA I,NYCHA,NYCHA_BORINQUEN_PLAZA_I_map.html,NYCHA_BORINQUEN_PLAZA_I_table.html,2
BROOKLYN,BORINQUEN PLAZA II,NYCHA,NYCHA_BORINQUEN_PLAZA_II_map.html,NYCHA_BORINQUEN_PLAZA_II_table.html,7
BRONX,BOYNTON AVENUE REHAB,NYCHA,NYCHA_BOYNTON_AVENUE_REHAB_map.html,,0
MANHATTAN,BRACETTI PLAZA,NYCHA,NYCHA_BRACETTI_PLAZA_map.html,NYCHA_BRACETTI_PLAZA_table.html,39
BROOKLYN,BREUKELEN,NYCHA,NYCHA_BREUKELEN_map.html,,0
BROOKLYN,BREVOORT,NYCHA,NYCHA_BREVOORT_map.html,NYCHA_BREVOORT_table.html,4
BRONX,BRONX RIVER,NYCHA,NYCHA_BRONX_RIVER_map.html,,0
BRONX,BRONX RIVER ADDITION,NYCHA,NYCHA_BRONX_RIVER_ADDITION_map.html,,0
BROOKLYN,BROWN,NYCHA,NYCHA_BROWN_map.html,,0
BROOKLYN,BROWNSVILLE,NYCHA,NYCHA_BROWNSVILLE_map.html,NYCHA_BROWNSVILLE_table.html,2
BRONX,BRYANT AVENUE-EAST 174TH STREET,NYCHA,NYCHA_BRYANT_AVENUE-EAST_174TH_STREET_map.html,,0
BROOKLYN,BUSHWICK,NYCHA,NYCHA_BUSHWICK_map.html,NYCHA_BUSHWICK_table.html,7
